"filename", "language", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Code\omni-chat\AGENTS.md", "Markdown", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 135
"c:\Code\omni-chat\APPREADME.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"c:\Code\omni-chat\PLANS.md", "Markdown", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 86
"c:\Code\omni-chat\README.md", "Markdown", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 210
"c:\Code\omni-chat\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Code\omni-chat\client\package-lock.json", "JSON", 0, 3953, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3954
"c:\Code\omni-chat\client\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Code\omni-chat\client\public\platform-icons\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 3, 17
"c:\Code\omni-chat\client\public\platform-icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Code\omni-chat\client\public\platform-icons\line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Code\omni-chat\client\public\platform-icons\telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Code\omni-chat\client\public\platform-icons\tiktok.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 6
"c:\Code\omni-chat\client\public\platform-icons\viber.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Code\omni-chat\client\public\platform-icons\website.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Code\omni-chat\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 31, 241
"c:\Code\omni-chat\client\src\components\LegalDocumentPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 8, 63
"c:\Code\omni-chat\client\src\components\PublicSiteShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 16, 143
"c:\Code\omni-chat\client\src\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 497, 0, 0, 0, 0, 45, 542
"c:\Code\omni-chat\client\src\components\portal-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Code\omni-chat\client\src\content\site.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 6, 90
"c:\Code\omni-chat\client\src\features\channels\ChannelConnectionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 12, 123
"c:\Code\omni-chat\client\src\features\inbox\ChannelBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"c:\Code\omni-chat\client\src\features\inbox\Composer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 765, 0, 0, 0, 0, 74, 839
"c:\Code\omni-chat\client\src\features\inbox\ContactPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 690, 0, 0, 0, 0, 83, 773
"c:\Code\omni-chat\client\src\features\inbox\ConversationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 23, 221
"c:\Code\omni-chat\client\src\features\inbox\ThreadView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 596, 0, 0, 0, 1, 66, 663
"c:\Code\omni-chat\client\src\features\inbox\conversation-state.ts", "TypeScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 49, 266
"c:\Code\omni-chat\client\src\features\inbox\inbox-state.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Code\omni-chat\client\src\features\inbox\sticker-catalog.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Code\omni-chat\client\src\features\inbox\thread-media-utils.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 2, 16, 117
"c:\Code\omni-chat\client\src\features\portal\billing-form-helpers.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Code\omni-chat\client\src\features\portal\portal-display.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Code\omni-chat\client\src\features\portal\portal-workspace-context.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Code\omni-chat\client\src\features\portal\portal-workspace-helpers.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Code\omni-chat\client\src\features\ui\FilterChip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Code\omni-chat\client\src\features\ui\MetricCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Code\omni-chat\client\src\features\ui\Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Code\omni-chat\client\src\features\ui\StatusBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Code\omni-chat\client\src\features\ui\ToastStack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 10, 80
"c:\Code\omni-chat\client\src\hooks\use-session.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 289, 0, 0, 0, 3, 37, 329
"c:\Code\omni-chat\client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Code\omni-chat\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Code\omni-chat\client\src\pages\AISettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 656, 0, 0, 0, 0, 62, 718
"c:\Code\omni-chat\client\src\pages\AcceptInvitePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 24, 210
"c:\Code\omni-chat\client\src\pages\AccountPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 31, 285
"c:\Code\omni-chat\client\src\pages\AnalyticsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 41, 335
"c:\Code\omni-chat\client\src\pages\AutomationsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 43, 374
"c:\Code\omni-chat\client\src\pages\CannedRepliesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 521, 0, 0, 0, 0, 63, 584
"c:\Code\omni-chat\client\src\pages\ChannelsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1461, 0, 0, 0, 0, 158, 1619
"c:\Code\omni-chat\client\src\pages\CreateWorkspacePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 21, 166
"c:\Code\omni-chat\client\src\pages\DataDeletionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Code\omni-chat\client\src\pages\InboxPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1844, 0, 0, 0, 3, 225, 2072
"c:\Code\omni-chat\client\src\pages\KnowledgePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 65, 568
"c:\Code\omni-chat\client\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 19, 279
"c:\Code\omni-chat\client\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 48, 360
"c:\Code\omni-chat\client\src\pages\PortalDashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 15, 242
"c:\Code\omni-chat\client\src\pages\PortalPlanCatalogPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 457, 0, 0, 0, 0, 27, 484
"c:\Code\omni-chat\client\src\pages\PortalPlansPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 24, 411
"c:\Code\omni-chat\client\src\pages\PortalStaffPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 17, 263
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceAuditPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 4, 67
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceBillingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 680, 0, 0, 0, 0, 41, 721
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceChannelsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 14, 207
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 244
"c:\Code\omni-chat\client\src\pages\PortalWorkspaceMembersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 8, 160
"c:\Code\omni-chat\client\src\pages\PortalWorkspacePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 9, 193
"c:\Code\omni-chat\client\src\pages\PrivacyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Code\omni-chat\client\src\pages\PublicWorkspacePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 482, 0, 0, 0, 0, 44, 526
"c:\Code\omni-chat\client\src\pages\StickerLibraryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 587, 0, 0, 0, 0, 62, 649
"c:\Code\omni-chat\client\src\pages\TermsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Code\omni-chat\client\src\pages\WorkspaceMembersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 385, 0, 0, 0, 0, 34, 419
"c:\Code\omni-chat\client\src\pages\WorkspaceProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 32, 535
"c:\Code\omni-chat\client\src\pages\WorkspacesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 27, 277
"c:\Code\omni-chat\client\src\services\api-base.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Code\omni-chat\client\src\services\api.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 13, 88
"c:\Code\omni-chat\client\src\services\realtime.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Code\omni-chat\client\src\types\models.ts", "TypeScript", 0, 0, 587, 0, 0, 0, 0, 0, 0, 0, 35, 622
"c:\Code\omni-chat\client\src\types\outbound-content.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Code\omni-chat\client\src\utils\assistant-model-options.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Code\omni-chat\client\src\utils\gemini-model-options.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Code\omni-chat\client\src\utils\inbound-notification.test.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Code\omni-chat\client\src\utils\inbound-notification.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 7, 43
"c:\Code\omni-chat\client\src\utils\platform-icons.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Code\omni-chat\client\src\utils\platform-role.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Code\omni-chat\client\src\utils\workspace-role.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Code\omni-chat\client\src\utils\workspace-routes.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Code\omni-chat\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Code\omni-chat\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Code\omni-chat\client\vite.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Code\omni-chat\docs\api-contracts.md", "Markdown", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 334
"c:\Code\omni-chat\docs\messaging-architecture.md", "Markdown", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 268
"c:\Code\omni-chat\docs\migration-notes.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 116
"c:\Code\omni-chat\package-lock.json", "JSON", 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 1, 330
"c:\Code\omni-chat\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Code\omni-chat\scripts\ensure-env.mjs", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Code\omni-chat\server\package-lock.json", "JSON", 0, 4202, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4203
"c:\Code\omni-chat\server\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Code\omni-chat\server\scripts\dev-public-cloudflare.mjs", "JavaScript", 0, 0, 0, 0, 160, 0, 0, 0, 0, 1, 35, 196
"c:\Code\omni-chat\server\src\app.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 16, 172
"c:\Code\omni-chat\server\src\billing\constants.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Code\omni-chat\server\src\channels\adapter.registry.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Code\omni-chat\server\src\channels\base.adapter.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 15, 127
"c:\Code\omni-chat\server\src\channels\facebook.adapter.ts", "TypeScript", 0, 0, 322, 0, 0, 0, 0, 0, 0, 2, 33, 357
"c:\Code\omni-chat\server\src\channels\instagram.adapter.ts", "TypeScript", 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 29, 328
"c:\Code\omni-chat\server\src\channels\line.adapter.ts", "TypeScript", 0, 0, 416, 0, 0, 0, 0, 0, 0, 1, 48, 465
"c:\Code\omni-chat\server\src\channels\telegram.adapter.ts", "TypeScript", 0, 0, 846, 0, 0, 0, 0, 0, 0, 1, 55, 902
"c:\Code\omni-chat\server\src\channels\tiktok.adapter.ts", "TypeScript", 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 29, 367
"c:\Code\omni-chat\server\src\channels\types.ts", "TypeScript", 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 18, 267
"c:\Code\omni-chat\server\src\channels\viber.adapter.ts", "TypeScript", 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 32, 437
"c:\Code\omni-chat\server\src\channels\website.adapter.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 12, 144
"c:\Code\omni-chat\server\src\config\env.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 0, 0, 4, 12, 145
"c:\Code\omni-chat\server\src\lib\async-handler.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Code\omni-chat\server\src\lib\bot-pause.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Code\omni-chat\server\src\lib\conversation-ai-state.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Code\omni-chat\server\src\lib\crypto.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 5, 66
"c:\Code\omni-chat\server\src\lib\errors.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Code\omni-chat\server\src\lib\logger.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\Code\omni-chat\server\src\lib\meta-signed-request.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Code\omni-chat\server\src\lib\mongo.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
